"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
730;70-79;125;2021-04-06
740;70-79;138;2021-04-06
741;70-79;10;2021-04-06
746;70-79;113;2021-04-06
751;70-79;466;2021-04-06
756;70-79;63;2021-04-06
760;70-79;64;2021-04-06
766;70-79;60;2021-04-06
773;70-79;51;2021-04-06
779;70-79;65;2021-04-06
787;70-79;88;2021-04-06
791;70-79;99;2021-04-06
810;70-79;86;2021-04-06
813;70-79;106;2021-04-06
820;70-79;50;2021-04-06
825;70-79;2;2021-04-06
840;70-79;36;2021-04-06
846;70-79;72;2021-04-06
849;70-79;62;2021-04-06
851;70-79;304;2021-04-06
860;70-79;99;2021-04-06
;80-89;10;2021-04-06
101;80-89;598;2021-04-06
147;80-89;249;2021-04-06
151;80-89;159;2021-04-06
153;80-89;85;2021-04-06
155;80-89;18;2021-04-06
157;80-89;121;2021-04-06
159;80-89;144;2021-04-06
161;80-89;57;2021-04-06
163;80-89;89;2021-04-06
165;80-89;29;2021-04-06
167;80-89;88;2021-04-06
169;80-89;83;2021-04-06
173;80-89;100;2021-04-06
175;80-89;74;2021-04-06
183;80-89;33;2021-04-06
185;80-89;80;2021-04-06
187;80-89;32;2021-04-06
190;80-89;87;2021-04-06
201;80-89;43;2021-04-06
210;80-89;76;2021-04-06
217;80-89;110;2021-04-06
219;80-89;77;2021-04-06
223;80-89;41;2021-04-06
230;80-89;97;2021-04-06
240;80-89;80;2021-04-06
250;80-89;65;2021-04-06
253;80-89;70;2021-04-06
259;80-89;57;2021-04-06
260;80-89;23;2021-04-06
265;80-89;100;2021-04-06
269;80-89;17;2021-04-06
270;80-89;61;2021-04-06
306;80-89;38;2021-04-06
316;80-89;76;2021-04-06
320;80-89;28;2021-04-06
326;80-89;58;2021-04-06
329;80-89;33;2021-04-06
330;80-89;129;2021-04-06
336;80-89;37;2021-04-06
340;80-89;22;2021-04-06
350;80-89;32;2021-04-06
360;80-89;54;2021-04-06
370;80-89;99;2021-04-06
376;80-89;82;2021-04-06
390;80-89;28;2021-04-06
400;80-89;23;2021-04-06
410;80-89;25;2021-04-06
420;80-89;15;2021-04-06
430;80-89;38;2021-04-06
440;80-89;22;2021-04-06
450;80-89;38;2021-04-06
461;80-89;111;2021-04-06
479;80-89;46;2021-04-06
480;80-89;13;2021-04-06
482;80-89;4;2021-04-06
492;80-89;2;2021-04-06
510;80-89;21;2021-04-06
530;80-89;17;2021-04-06
540;80-89;42;2021-04-06
550;80-89;14;2021-04-06
561;80-89;97;2021-04-06
563;80-89;1;2021-04-06
573;80-89;41;2021-04-06
575;80-89;19;2021-04-06
580;80-89;33;2021-04-06
607;80-89;42;2021-04-06
615;80-89;59;2021-04-06
621;80-89;51;2021-04-06
630;80-89;45;2021-04-06
657;80-89;65;2021-04-06
661;80-89;69;2021-04-06
665;80-89;6;2021-04-06
671;80-89;24;2021-04-06
706;80-89;34;2021-04-06
707;80-89;22;2021-04-06
710;80-89;20;2021-04-06
727;80-89;19;2021-04-06
730;80-89;46;2021-04-06
740;80-89;44;2021-04-06
741;80-89;4;2021-04-06
746;80-89;69;2021-04-06
751;80-89;255;2021-04-06
756;80-89;33;2021-04-06
760;80-89;30;2021-04-06
766;80-89;30;2021-04-06
773;80-89;19;2021-04-06
779;80-89;17;2021-04-06
787;80-89;48;2021-04-06
791;80-89;39;2021-04-06
810;80-89;24;2021-04-06
813;80-89;51;2021-04-06
820;80-89;22;2021-04-06
840;80-89;26;2021-04-06
846;80-89;43;2021-04-06
849;80-89;27;2021-04-06
851;80-89;128;2021-04-06
860;80-89;48;2021-04-06
;90+;12;2021-04-06
101;90+;229;2021-04-06
147;90+;113;2021-04-06
151;90+;24;2021-04-06
153;90+;19;2021-04-06
155;90+;7;2021-04-06
157;90+;59;2021-04-06
159;90+;51;2021-04-06
161;90+;26;2021-04-06
